time,ambient_temperature,relative_humidity,weather_condition
2023-09-14 00:56:00,22,97,Mostly Cloudy
2023-09-14 01:56:00,22,100,Partly Cloudy
2023-09-14 02:56:00,22,100,Mostly Cloudy
2023-09-14 03:56:00,23,96,Fair
2023-09-14 04:56:00,22,96,Partly Cloudy
2023-09-14 05:56:00,22,97,Fair
2023-09-14 06:56:00,22,96,Partly Cloudy
2023-09-14 07:56:00,22,93,Partly Cloudy
2023-09-14 08:56:00,23,87,Partly Cloudy
2023-09-14 09:33:00,24,85,Cloudy
2023-09-14 09:40:00,24,82,Cloudy
2023-09-14 09:56:00,25,79,Mostly Cloudy
2023-09-14 10:08:00,25,79,Mostly Cloudy
2023-09-14 10:56:00,26,77,Partly Cloudy
2023-09-14 11:56:00,27,69,Mostly Cloudy
2023-09-14 12:56:00,28,67,Mostly Cloudy
2023-09-14 13:56:00,28,63,Mostly Cloudy
2023-09-14 14:56:00,29,61,Mostly Cloudy
2023-09-14 15:56:00,29,58,Mostly Cloudy
2023-09-14 16:56:00,29,61,Mostly Cloudy
2023-09-14 17:56:00,28,60,Cloudy
2023-09-14 18:56:00,27,69,Mostly Cloudy
2023-09-14 19:56:00,27,69,Mostly Cloudy
2023-09-14 20:56:00,26,69,Mostly Cloudy
2023-09-14 21:56:00,26,74,Mostly Cloudy
2023-09-14 22:56:00,26,68,Mostly Cloudy
2023-09-14 23:56:00,24,71,Mostly Cloudy
